image_id,primary_blessing,symbol_objects,cultural_reason,is_negative,symbol_reason,time_period,product_function,source_reference
image_001.jpg,luck,gourd,homophony,no,"The gourd is full of seeds and ""gourd"" (hulu) sounds like ""good fortune and prosperity"" (fulu), symbolizing fertility, abundance, and happiness.",Qing,Daily necessities,https://digicol.dpm.org.cn/cultural/detail?id=7199746cc18a4e66b4310f6b0af65013&source=6
image_002.jpg,luck,bat,homophony,no,"The word for ""bat"" (fú) sounds the same as ""good fortune"" (fú) in Chinese, the bat has become a symbol of happiness and blessings.",Qing,ceramics,https://digicol.dpm.org.cn/cultural/detail?id=4666ac5f296949aebf501b81e154449b&source=6
image_003.jpg,luck,gourd,homophony,no,"The gourd is full of seeds and ""gourd"" (hulu) sounds like ""good fortune and prosperity"" (fulu), symbolizing fertility, abundance, and happiness.",Qing,ceramics,https://digicol.dpm.org.cn/cultural/detail?id=0fdba9239305477d8a8227154c5b28ce&source=6
image_004.jpg,luck,"bat,longevity",homophony,no,"Bats symbolize good fortune (fu); five bats represent the ""Five Blessings,"" often paired with the ""longevity"" (shou) character in the ""Five Bats Embracing Longevity"" motif, symbolizing lasting fortune and life.",Qing,ceramics,https://digicol.dpm.org.cn/cultural/detail?id=0fdba9239305477d8a8227154c5b28ce&source=6
image_005.jpg,longevity,"bat,luck",word,no,"Chinese character ""shou"" (longevity) is often paired with bats to form the auspicious motif of ""luck and longevity.""",Qing,scholar's tools ,https://digicol.dpm.org.cn/cultural/detail?id=29674c8479d94192b6afbd0ec7f2b20e&source=6
image_006.jpg,luck,dragon,symbol,no,"Dragon is a sacred and auspicious creature symbolizing power, good fortune, and prosperity, bringing blessings.",Qing,tableware,https://digicol.dpm.org.cn/cultural/detail?id=a9af68ab15504c99b6423b4d01f70d47&source=6
image_007.jpg,longevity,words,symbol,no,"The Chinese character ""shou"" (寿) symbolizes longevity.",Qing,ceramics,https://digicol.dpm.org.cn/cultural/detail?id=1d1537713c8b43b8ab88b8bdf1d480b5&source=6
image_008.jpg,luck,"dragon,words",symbol,no,"The dragon symbolizes power, luck, and prosperity, bringing luck; ""shou"" represents longevity.",Qing,tableware,https://digicol.dpm.org.cn/cultural/detail?id=0728237e55114a269ea8708611ba37be&source=6
image_009.jpg,luck,bat,homophony,no,"The word for ""bat"" (fú) sounds the same as ""good fortune"" (fú) in Chinese, the bat has become a symbol of happiness and blessings.",Qing,ceramics,https://digicol.dpm.org.cn/cultural/detail?id=c404b273f0f6434699c68905705e7fa4&source=6
image_010.jpg,longevity,words,symbol,no,"The Chinese character ""shou"" (寿) symbolizes longevity.",Qing,ceramics,https://digicol.dpm.org.cn/cultural/detail?id=c404b273f0f6434699c68905705e7fa4&source=6
image_011.jpg,double happiness,lotus,homophony,no,"Because ""lotus"" (lian) sounds like ""continuous"" (lian), it symbolizes joyful blessings like ""continuous sons"" or ""abundance every year.""",Qing,ceramics,https://digicol.dpm.org.cn/cultural/detail?id=1158790b62b94458a642edd5b01b5c84&source=6
image_012.jpg,luck,bat,homophony,no,"The word for ""bat"" (fú) sounds the same as ""good fortune"" (fú) in Chinese, the bat has become a symbol of happiness and blessings.",Qing,ceramics,https://digicol.dpm.org.cn/cultural/detail?id=1158790b62b94458a642edd5b01b5c84&source=6
image_013.jpg,longevity,words,symbol,no,"The Chinese character ""shou"" (寿) symbolizes longevity.",Qing,tableware,https://digicol.dpm.org.cn/cultural/detail?id=7f6b9a60e15945dcbb5eb73c2f9d20e9&source=6
image_014.jpg,luck,bat,homophony,no,"The word for ""bat"" (fú) sounds the same as ""good fortune"" (fú) in Chinese, the bat has become a symbol of happiness and blessings.",Qing,ceramics,https://digicol.dpm.org.cn/cultural/detail?id=b7935bcc7b05499aad6bdfff61ec9117&source=6
